Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003143-3;Ssd Seagate Barracuda Q5 M.2 Nvme 500gb M.2 2280 Pcie Gen3x4 Zp500cv3a001 Velocidade Leitura 2300mb/s Velocidade Gravaçã;190,77;https://http2.mlstatic.com/D_876576-MLU72566175152_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003144;Disco Sólido Interno Western Digital Wd Black Sn750 Wds500g3x0c 500gb Preto;484;https://http2.mlstatic.com/D_934689-MLB49164795991_022022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003144-1;Wd_black 500 Gb Sn750 Se Nvme Ssd Interno Para Jogos - Gen4 ;709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003145;SSD Crucial P3 500GB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 1900MB/s);309;https://http2.mlstatic.com/D_934497-MLB52129927895_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003145-1;Ssd Crucial P3 Plus 500gb Nvme M.2 2280 - Ct500p3pssd8 Cor Preto;319;https://http2.mlstatic.com/D_789886-MLU74113435933_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003146;Ssd Kingston 512gb Kc3000 M.2 2280 Nvme Pcie 4.0 7000mb/s;464;https://http2.mlstatic.com/D_970122-MLB51509470361_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003147;SSD NVME 512GB XPG SX 6000 PRO;499;https://http2.mlstatic.com/D_747963-MLA74118341006_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003148;SSD NVME  ADATA LEGEND 710 512GB;229;https://http2.mlstatic.com/D_978172-MLA74162624837_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003148-1;Ssd Adata Legend 710 1tb M.2 2280 Nvme Pcie 3.0aleg-710-1tcs;380;https://http2.mlstatic.com/D_734096-MLB73001359979_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003149;SSD Adata XPG ASX8100 512GB, M.2 NVMe, Leitura 3500MB/s, Gravação 3000MB/s - ASX8100NP-512GT-C;468;https://http2.mlstatic.com/D_600620-MLB52088716203_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003150;SSD Adata XPG Spectrix S40G 512GB, M.2, Leitura 3500MB/s, Gravação 1900MB/s;422,5;https://http2.mlstatic.com/D_973357-MLA74110431310_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003151;Ssd Kingston Fury Renegade 500gb M.2 2280 Nvme Pcie 4.0 BLISTER;474;https://http2.mlstatic.com/D_733845-MLB51636672996_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003151-1;Ssd Kingston 512gb Kc3000 M.2 2280 Nvme Pcie 4.0 7000mb/s;449;https://http2.mlstatic.com/D_970122-MLB51509470361_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003152;SSD Crucial P3 1TB NVMe PCIe M.2 2280 - CT1000P3SSD8;479;https://http2.mlstatic.com/D_954144-MLU74226103087_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003152-1;Ssd Crucial P3 Plus 1tb Nvme M.2 2280 Cor Preto;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003153;SSD Crucial Ct1000p2ssd8 1tb;699;https://http2.mlstatic.com/D_774164-MLB52350837702_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003153-1;Ssd Plus M.2 Nvme Sandisk 1tb Sdssda3n-1t00-g26 Pcie Gen 3.0 Cor Azul-marinho;465;https://http2.mlstatic.com/D_908056-MLB74421843269_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003154;SSD NVME WD Green 1TB -  SN350 WDS100T3G0C;458;https://http2.mlstatic.com/D_641267-MLB52978496780_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003155;SSD NVME Xpg Gammix S11 Pro 1tb Vermelho-gammixs11p-1tt-c;909;https://http2.mlstatic.com/D_604037-MLA74221451791_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003156;SSD NVME Xpg Gammix S70  1tb- Agammixs70-1t-c;1179;https://http2.mlstatic.com/D_734707-MLB52088653673_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003156-1;Hd 22tb Sata3 Western Digital Red Pro Wd221kfgx 6gb/s, 7.200;5187;https://http2.mlstatic.com/D_877903-MLU72373023224_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003157;XPG 1TB GAMMIX S70 Blade – Funciona com SSD interno para jogos Playstation 5, PCIe Gen4 M.2 2280 até 7.400 MB/s (AGAMMIX;1015;https://http2.mlstatic.com/D_922897-MLA48635600313_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003158;SSD Adata XPG Spectrix S40G 1TB, M.2, Leitura 3500MB/s, Gravação 3000MB/s - AS40G-1TT-C;829;https://http2.mlstatic.com/D_601128-MLA74219029915_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003159;Disco Sólido Interno Adata Xpg Aspectrixs20g-1t-c 1tb Preto;846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003160;Disco Sólido Interno Hp Ex900 5xm46aa 1tb;319,23;https://http2.mlstatic.com/D_740226-MLB71873687037_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003162;SSD NVME Barracuda Q5 M.2  1tb 1000gb Zp1000cv3a00;379;https://http2.mlstatic.com/D_739940-MLU74423651714_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003162-1;Ssd Seagate 1tb Pcie 4.0  M.2 Nvme Gen4 Firecuda 530 Novo Ca - Preto;659;https://http2.mlstatic.com/D_698164-MLU73690972359_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003163;SSD KINGSTON NV2 1TB M.2 2280 NVME PCIE 4.0 - SNV2S/1000G;399;https://http2.mlstatic.com/D_896064-MLU73979641372_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003164;SSD NVME Kingston Nv1 Snvs/1000g 1000gb;603;https://http2.mlstatic.com/D_722135-MLB52096026794_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003164-1;SSD M2 NVME 1 TB HP EX 900 ;337,69;https://http2.mlstatic.com/D_968808-MLB71900661974_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003164-2;Disco Sólido Interno Hp Ex950 5ms23aa 1tb;469;https://http2.mlstatic.com/D_890967-MLB74420644973_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003165;SSD Gigabyte 1TB M.2 2280 2,5 SATA NVME - GP-GSM2NE3100TNTD;1669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003166;SSD KINGSTON NV2 2TB M.2 2280 NVME PCIE 4.0 - SNV2S/2000G;819;https://http2.mlstatic.com/D_617749-MLU72933100891_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003167;SSD NVME WD Green de 2 TB - WDS200T2G0A;1029;https://http2.mlstatic.com/D_958318-MLU74226021635_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003167-1;Ssd 2t Sandisk Plus Nvme, M.2, Pcle, Gen3, Leitura 3.200 Cor Azul-petróleo;819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003168;Kingston SKC3000D/2048G - SSD de 2TB Série KC3000 PCIe Ger. 4.0 M.2 2280 NVMe de alta performance (Leitura/Gravação: até;1480;https://http2.mlstatic.com/D_821984-MLA74111702370_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003169;Crucial SSD P3 2TB PCIe Gen3 3D NAND NVMe M.2, até 3500MB/s - CT2000P3SSD8;1179;https://http2.mlstatic.com/D_894074-MLB54924828685_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003170;Kingston SFYRD/2000G - SSD FURY RENEGADE de 2000GB PCIe Ger. 4.0 M.2 2280 NVMe para gamers/entusiastas;1619;https://http2.mlstatic.com/D_798230-MLA74110422898_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003171;Western Digital SSD interno de 2 TB WD Blue SN570 NVMe - PCIe 3 x 4 8 Gb/s, M.2 2280, até 3.500 MB/s - WDS200T3B0C;1439;https://http2.mlstatic.com/D_774082-MLU74111594513_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003171-2;Unidade Ssd Seagate Firecuda 530 De 2 Tb Nvme Pcie 4.0;1235;https://http2.mlstatic.com/D_625104-MLU74332440204_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003172;HD NAS IRONWOLF PRO 18TB ST18000NE000;3654;https://http2.mlstatic.com/D_862128-MLA54960396172_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003172-1;Disco Rígido Interno Seagate Ironwolf Pro St18000ne000 18tb;3249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003173;Ssd 4 Tb Crucial P3 M.2 2280 Pcie Nvme Leitura: 3500mb/s;1899;https://http2.mlstatic.com/D_956855-MLB74087871968_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003174;Kingston SXS2000/1000G, SSD portátil de 1TB USB 3.2 2x2 c/capa de borracha e conexão USB-C (Leitura/Gravação: 2TB/s);1329;https://http2.mlstatic.com/D_646864-MLA52678698864_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003175;SSD Externo Sandisk  1tb - Sdssde30-1t00;709;https://http2.mlstatic.com/D_831555-MLA52578848473_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003175-1;SSD Externo Sandisk Extreme 1tb - Sdssde61-1t00-g25;869;https://http2.mlstatic.com/D_674305-MLU73211367329_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003175-2;Ssd Portátil Sandisk 1tb Extreme Pro 2000mbs Para Escritório - Preto;999;https://http2.mlstatic.com/D_996439-MLA48636638802_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003175-3;Sandisk Extreme Portable Ssd Usb 3.2 1050mbs/1000mbs  1tb Sd - Verde;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003175-4;Unidade Sólida Externa Sandisk Extreme De 1 Tb 1050 Mb/s, Cor Azul Claro;820;https://http2.mlstatic.com/D_704550-MLU74129724611_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003176;SSD Externo Kingston 2tb - Sxs2000/2000g;1249;https://http2.mlstatic.com/D_977503-MLA50094392517_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003176-1;Disco Sólido Externo Kingston Sxs1000 2tb Preto;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003177;Kingston SKC3000D/4096G - SSD de 4TB Série KC3000 PCIe Ger. 4.0 M.2 2280 NVMe de alta performance (Leitura/Gravação: até;5680;https://http2.mlstatic.com/D_952836-MLU74329488300_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003178;SSD Xpg Spectrix S40g  4tb - As40g-4tt-c;2030;https://http2.mlstatic.com/D_679521-MLA74111670888_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003179;Kingston SKC3000S/1024G - SSD de 1TB Série KC3000 PCIe Ger. 4.0 M.2 2280 NVMe de alta performance (Leitura/Gravação: até;750;https://http2.mlstatic.com/D_997509-MLB54056699920_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003180;SFYRS/1000G - SSD FURY RENEGADE de 1000GB BLISTER;860;https://http2.mlstatic.com/D_982089-MLA74006747468_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003180-1;SSD NVME 1TB KINGSTON RENEGADE BOX;799;https://http2.mlstatic.com/D_832131-MLU73363163042_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003181;SFYRD/4000G - SSD FURY RENEGADE de 4000GB PCIe Ger. 4.0 M.2 2280 NVMe para gamers/entusiastas;4660;https://http2.mlstatic.com/D_952383-MLA74180188257_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003182;Crucial SSD portátil X6 4TB – até 800MB/s – USB 3.2 – Unidade de estado sólido externo, USB-C - CT4000X6SSD9, preto;2574;https://http2.mlstatic.com/D_825034-MLB51314140535_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003183;Ssd Nvme Corsair Mp600 Pro Nh 4tb F4000gbmp600pnh 7000mb/s Cor Preto;3499;https://http2.mlstatic.com/D_889671-MLU73927836885_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003184;SSD NVME Kingston Snv2s/4000g 4tb;1719;https://http2.mlstatic.com/D_892163-MLU72637189249_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003184-2;Ssd Externo 4tb Portátil Kingston Sxs2000/4000g Leitura: 20;2206;https://http2.mlstatic.com/D_614948-MLB74365746429_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003185;SSD NVME Kingston Fury Renegade Sfyrdk/2000g 2tb box;1699;https://http2.mlstatic.com/D_681611-MLB54991806712_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003186;SSD Externo Sandisk  2tb - Sdssde30-2t00-g25;1270;https://http2.mlstatic.com/D_629810-MLA48635614208_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003187;SSD Samsung 980  500gb -Mz-v8v500bw;479;https://http2.mlstatic.com/D_836842-MLB69588905111_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003188;SDD Kingston Sa400s37/960g 960gb;339;https://http2.mlstatic.com/D_946958-MLB69614108255_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003189;SSD Kingston Fury Renegade Sfyrd/2000g 2tb;1349;https://http2.mlstatic.com/D_752011-MLA50169597866_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003190;SSD Samsung 980 1tb - Mz-v8v1tobw;729;https://http2.mlstatic.com/D_948643-MLA74118249092_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003191;Ssd Samsung 980 Pro 1tb M.2 Pci-e Gen4 Nvme - 7000mbs - Ps5;999;https://http2.mlstatic.com/D_911878-MLU74542482003_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003192;SSD Samsung 980 Pro 2tb - Mz-v8p2t0cw;1499;https://http2.mlstatic.com/D_626832-MLB73808287891_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003193;SSD Wd Red 500gb - Sa500 Wds500g1r0a;579;https://http2.mlstatic.com/D_991511-MLU72637032601_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003194;SSD 3.84TB / DC1500M  KINGSTON, Pcie, Nvme, U.2, Leituras 3.100mb/s, Cor Preto;2730;https://http2.mlstatic.com/D_655822-MLU70421010315_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003195;SSD Patriot Burst Elite 1,92Tb;569;https://http2.mlstatic.com/D_804397-MLU70345387680_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003196;SSD Externo Sandisk Extreme Pro 2tb -  Sdssde81-2t00-g25;1499;https://http2.mlstatic.com/D_779035-MLA50784597347_072022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003197;HD Externo Wd Elements Se 1tb - Wdbepk0010bbk;338;https://http2.mlstatic.com/D_718454-MLA40661568454_022020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003197-1;Ssd 2 Tb Externo Portátil Sandisk Extreme V2 Usb 3.2 Azul Co - Azul-claro;1099;https://http2.mlstatic.com/D_968763-MLU72454036865_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003198;HD Externo Sandisk Extreme 2tb - Sdssde61-2t00-g25;1159;https://http2.mlstatic.com/D_759396-MLA47203204546_082021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003199;Hd IronWolf Pro 22tb;3649;https://http2.mlstatic.com/D_965740-MLU70622430984_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003200;SSD 1.920tb Dc450r Enterprise Kingston;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003200-1;Disco Sólido Interno Kingston Sedc600m/1920g 1920gb;1749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003201;HD Wd Purple 1tb  Wd10purz;379;https://http2.mlstatic.com/D_713348-MLU72580215880_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003202;HD WD Purple 2TB- WD22PUR;409;https://http2.mlstatic.com/D_867737-MLA46482739648_062021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003203;SSD Kingston Sedc450r/3840g 3.84tb;2350;https://http2.mlstatic.com/D_689871-MLB70871436452_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003204;Ssd Servidor Kingston 3.84tb Sata 3 Data Center Dc500r;2950;https://http2.mlstatic.com/D_716809-MLB46845674464_072021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003204-1;Ssd Servidor Kingston 3.84tb Sata 6gbps Dc600m Enterprise Cor Preto;3100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003204-2;Ssd Servidor Kingston 7.68tb Sata 6gbps Dc600m Enterprise;5149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003205;HD Externo Expansion  16tb -Stkp16000400;0;https://http2.mlstatic.com/D_987868-MLU72565887600_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003206;SSD l Wd Red  1tb Vermelho - Sa500 Wds100t1r0a;0;https://http2.mlstatic.com/D_721288-MLA43331599359_092020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003207;Ssd Western Digital Wd Red Sa500 Wds200t1r0a 2tb;0;https://http2.mlstatic.com/D_989569-MLB71323941246_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003208;HD Externo  Expansion 18tb Stkp18000400;0;https://http2.mlstatic.com/D_935610-MLU72150053574_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003209-1;Hd Ssd M.2 500gb Western Digital Red Sa500 Nvme;649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003210;Hd Externo Ssd 4tb Sandisk Extreme 1000mb/s Sdssde61-4t00 Cor Azul-celeste;2599;https://http2.mlstatic.com/D_673238-MLU73075894544_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003211;Sandisk Extreme Pro 4tb Ssd Externo 2000mb/s Sdssde81-4t00 - Preto;3159;https://http2.mlstatic.com/D_681080-MLM52323331124_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00034001;Caixa De Som Bluetooth Flip 6 30w Rms Jbl Cor Preto 110v/220v;755;https://http2.mlstatic.com/D_804940-MLU74071985170_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004001;FONTE COMUM;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004002;Fonte 500w Fortrek Crusader Bivolt Atx Pc Cooler 12cm Sem Cabo De Energia;170;https://http2.mlstatic.com/D_899406-MLB52264565067_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00040024;Fonte Corsair Cv750 750w 80 Plus Bronze Pfc Ativo;839;https://http2.mlstatic.com/D_654881-MLU72529360080_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004005;FONTE DE ALIMENTAÇÃO ONE POWER ATX 500W MP500W3-I, PRETO;143;https://http2.mlstatic.com/D_691379-MLU72631951072_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004006;Fonte 600W ONE POWER - 70% Eficiência - MP600W3-I, Preto, ATX;219;https://http2.mlstatic.com/D_691340-MLB43315854323_082020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004011;Fonte De Alimentação Para Pc Gamdias Kratos Series E1-500w 500w  Black 100v - 130v/220v - 240v;292;https://http2.mlstatic.com/D_651646-MLU73129573220_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004016;Fonte 600W, Thermaltake, PS-SPD-0600NPCWBZ-W;439;https://http2.mlstatic.com/D_979326-MLA44804570340_022021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004017;GAMDIAS Fonte de Alimentação RGB 600W KRATOS M1 (ATX/Bivolt/80 Plus PFC Ativo/RGB Endereçavel/Sem Cabo) - KRATOS M1-600B;406;https://http2.mlstatic.com/D_732334-MLU72775599667_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004018;Fonte De Alimentação Para Pc Aerocool Advanced Technologies Kcas 600w 600w  Black 230v;310;https://http2.mlstatic.com/D_841421-MLU72704083221_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004019;FONTE DE ALIMENTACAO PARA UND. DIG. DE PROC. DE PEQ. CAPACIDADE CORSAIR 850W 80 PLUS GOLD - CP-9020263-WW - 0111275-01;1299;https://http2.mlstatic.com/D_879763-MLU73211223403_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004019-1;Fonte Corsair Sf850l 80 Plus Bronze Cor Preto;1500;https://http2.mlstatic.com/D_926871-MLU71462625489_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004020;FONTE ATX S/CABO 700W AEROCOOL KCAS;390;https://http2.mlstatic.com/D_967489-MLA45978145157_052021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004021;FONTE ATX S/CABO 800W AEROCOOL KCAS;535;https://http2.mlstatic.com/D_812534-MLU72637627909_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004022;Fonte Gamdias Kratos M1-750w 80 Plus Bronze Pfc Ativo Rgb Cor Black 100v/240v;459;https://http2.mlstatic.com/D_626181-MLU73560837731_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004022-1;Fonte De Alimentacao 750w Gp750 80 Plus Bronze Gamemax Preto;459;https://http2.mlstatic.com/D_900900-MLB53056459925_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004024;FONTE DE ALIMENTACAO PARA UND. DIG. DE PROC. DE PEQ. CAPACIDADE CORSAIR CV 750W 80 PLUS BRONZE - CP-9020237-BR - 011076 ;729;https://http2.mlstatic.com/D_654881-MLU72529360080_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004025;Fonte Atx 750w Redragon Rgps 80plus Gold Full Modular Bivolt;719;https://http2.mlstatic.com/D_903268-MLB49328735156_032022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004026;Fonte Redragon 700w Full Modular Rgps Gcps005 80 Plus Bronze Preto Bivolt;629;https://http2.mlstatic.com/D_899809-MLB74244307063_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004027;Fonte Corsair Rmx White Series, 750w, 80 Plus Gold, Modular Cor Branco Voltagem 100v/240v;839;https://http2.mlstatic.com/D_936075-MLU70153581521_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004028;Fonte De Alimentacao 750w Gp750 80 Plus Bronze Gamemax;429;https://http2.mlstatic.com/D_839957-MLA51042406043_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004029;Fonte Cougar Atlas 750W 80 Plus Bronze PFC Ativo;479;https://http2.mlstatic.com/D_970653-MLU54963633308_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004030-1;Fonte Thermaltake 850w Toughpower Gf3 Modular;1560;https://http2.mlstatic.com/D_793449-MLU54956504881_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0004030-2;Fonte 850w Tt Toughpower Gf2 Argb Gold Modular Pe;1485;https://http2.mlstatic.com/D_990287-MLU71396207431_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
